t ax ay az wx wy wz
2.2600 -4.0503517 9.0280280 -0.5986938 1.4020833 -0.2676580 -1.8595146
2.2800 -4.0503331 9.0102093 -0.6064468 1.3892426 -0.2708455 -1.8688766
2.3000 -4.0310484 8.9929966 -0.6128272 1.3752008 -0.2741815 -1.8775100
2.3200 -3.9922702 8.9763154 -0.6182976 1.3599592 -0.2776681 -1.8853990
2.3400 -3.9344781 8.9601884 -0.6229148 1.3435213 -0.2813076 -1.8925288
2.3600 -3.8592252 8.9447731 -0.6263401 1.3258923 -0.2851017 -1.8988851
2.3800 -3.7664683 8.9300011 -0.6289802 1.3070792 -0.2890517 -1.9044542
2.4000 -3.6573005 8.9159593 -0.6306244 1.2870911 -0.2931588 -1.9092232
2.4200 -3.5322873 8.9026517 -0.6313908 1.2659386 -0.2974238 -1.9131802
2.4400 -3.3928328 8.8901803 -0.6311684 1.2436347 -0.3018471 -1.9163138
2.4600 -3.2384343 8.8783999 -0.6304663 1.2201937 -0.3064289 -1.9186136
2.4800 -3.0716874 8.8675680 -0.6285284 1.1956322 -0.3111690 -1.9200700
2.5000 -2.8921673 8.8575231 -0.6260961 1.1699683 -0.3160668 -1.9206743
2.5200 -2.7014125 8.8483812 -0.6227232 1.1432221 -0.3211215 -1.9204187
2.5400 -2.4994410 8.8400281 -0.6190070 1.1154152 -0.3263319 -1.9192965
2.5600 -2.2888018 8.8326965 -0.6141534 1.0865713 -0.3316966 -1.9173016
2.5800 -2.0684638 8.8261373 -0.6090621 1.0567156 -0.3372138 -1.9144293
2.6000 -1.8408422 8.8205438 -0.6031909 1.0258748 -0.3428812 -1.9106756
2.6200 -1.6060987 8.8158234 -0.5968110 0.9940775 -0.3486966 -1.9060376
2.6400 -1.3652042 8.8119737 -0.5900204 0.9613538 -0.3546570 -1.9005136
2.6600 -1.1193393 8.8090303 -0.5826157 0.9277352 -0.3607596 -1.8941026
2.6800 -0.8693195 8.8069572 -0.5748752 0.8932547 -0.3670009 -1.8868050
2.7000 -0.6158735 8.8057313 -0.5667314 0.8579469 -0.3733774 -1.8786222
2.7200 -0.3599981 8.8053453 -0.5582457 0.8218474 -0.3798851 -1.8695565
2.7400 -0.1027026 8.8057919 -0.5494658 0.7849934 -0.3865198 -1.8596114
