t lat lon h Vxg Vyg Vzg pitch roll tHdg
1.6400 37.6169161 -122.3659579 31.9426804 13.4522802 0.0436522 -23.9059557 7.0221911 2.5068074 294.7472123
1.6600 37.6169185 -122.3659633 31.9437125 13.5034916 0.0516058 -23.9935691 6.9952919 2.5329618 294.7504954
1.6800 37.6169210 -122.3659688 31.9448692 13.5490031 0.0578336 -24.0701325 6.9679469 2.5594330 294.7537655
1.7000 37.6169234 -122.3659742 31.9461164 13.5889301 0.0623614 -24.1359020 6.9401585 2.5862097 294.7570219
1.7200 37.6169259 -122.3659797 31.9474208 13.6234000 0.0652180 -24.1911375 6.9119299 2.6132797 294.7602640
1.7400 37.6169283 -122.3659852 31.9487495 13.6525490 0.0664349 -24.2361261 6.8832646 2.6406304 294.7634915
1.7600 37.6169308 -122.3659907 31.9500704 13.6765202 0.0660459 -24.2711673 6.8541663 2.6682483 294.7667041
1.7800 37.6169332 -122.3659962 31.9513521 13.6954692 0.0640876 -24.2965659 6.8246393 2.6961194 294.7699017
1.8000 37.6169357 -122.3660017 31.9525641 13.7095557 0.0605986 -24.3126573 6.7946882 2.7242291 294.7730843
1.8200 37.6169381 -122.3660073 31.9536765 13.7189498 0.0556195 -24.3197938 6.7643180 2.7525622 294.7762521
1.8400 37.6169406 -122.3660128 31.9546604 13.7238271 0.0491935 -24.3183114 6.7335342 2.7811028 294.7794055
1.8600 37.6169431 -122.3660183 31.9554877 13.7243684 0.0413652 -24.3085935 6.7023424 2.8098344 294.7825450
1.8800 37.6169455 -122.3660238 31.9561313 13.7207632 0.0321812 -24.2909975 6.6707491 2.8387399 294.7856713
1.9000 37.6169480 -122.3660293 31.9565651 13.7132043 0.0216894 -24.2659339 6.6387608 2.8678017 294.7887852
1.9200 37.6169505 -122.3660348 31.9567639 13.7018902 0.0099396 -24.2337731 6.6063846 2.8970017 294.7918878
1.9400 37.6169529 -122.3660403 31.9567035 13.6870209 -0.0030174 -24.1949252 6.5736279 2.9263212 294.7949802
1.9600 37.6169554 -122.3660458 31.9563609 13.6688050 -0.0171295 -24.1497966 6.5404987 2.9557409 294.7980639
1.9800 37.6169578 -122.3660512 31.9557141 13.6474495 -0.0323437 -24.0987973 6.5070052 2.9852412 294.8011402
2.0000 37.6169603 -122.3660567 31.9547419 13.6231653 -0.0486058 -24.0423462 6.4731562 3.0148018 294.8042110
2.0200 37.6169627 -122.3660621 31.9534247 13.5961662 -0.0658613 -23.9808540 6.4389608 3.0444023 294.8072780
2.0400 37.6169652 -122.3660675 31.9517436 13.5666662 -0.0840548 -23.9147484 6.4044285 3.0740215 294.8103432
2.0600 37.6169676 -122.3660729 31.9496810 13.5348805 -0.1031304 -23.8444311 6.3695692 3.1036381 294.8134089
2.0800 37.6169700 -122.3660783 31.9472204 13.5010240 -0.1230324 -23.7703476 6.3343934 3.1332303 294.8164773
